config_id,STS12,STS13,STS14,STS15,STS16,STS17,STSBenchmark,SICK-R,AVG_STS
1014AB2_comp2_s5_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.696361,0.83619,0.776004,0.822641,0.814704,0.821881,0.810465,0.765485,0.7968922857142857
contrastiveeol_c3_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.628089,0.809002,0.739779,0.809173,0.782004,0.811719,0.777597,0.738142,0.7653375714285715
baseline_b5_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.602343,0.78688,0.695964,0.768002,0.765251,0.812551,0.751918,0.735104,0.7404155714285715
intellegeneol_t1_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.575225,0.78097,0.709215,0.788521,0.764869,0.81124,0.744178,,0.739174
