config_id,STSBenchmark,STS12,STS13,STS14,STS15,STS16,STS17,SICK-R,AVG_STS,AVG_STS_NO_BENCHMARK
1014AB2_comp2_s5_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.810465,0.696361,0.83619,0.776004,0.822641,0.814704,0.821881,0.765485,0.7968922857142857,0.7946301666666667
baseline_b5_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.751918,0.602343,0.78688,0.695964,0.768002,0.765251,0.812551,0.735104,0.7404155714285715,0.7384985000000001
contrastiveeol_c3_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.777597,0.628089,0.809002,0.739779,0.809173,0.782004,0.811719,0.738142,0.7653375714285714,0.7632943333333334
intellegeneol_t1_Mistral-7B-Instruct-v0.1_Mistral-7B-v0.1_kx_sx,0.744178,0.575225,0.78097,0.709215,0.788521,0.764869,0.81124,,0.739174,0.73834
